occ_year,occ_month,occ_dow,occ_day,occ_hour,division,premises_type,bike_make,bike_type,bike_colour,bike_cost
2014,May,Monday,5,15,D52,Educational,NORCO,OT,GRY,1200
2014,May,Thursday,8,8,D52,Educational,NORCO,OT,GRY,500
2014,May,Thursday,1,12,D52,Educational,SUPERCYCLE,OT,BLKBLU,250
2014,May,Sunday,4,15,D22,House,KH,OT,GRY,734.48
2014,May,Monday,12,1,D55,Other,TR,MT,SIL,500
2014,May,Saturday,10,2,D14,House,UK,RG,RED,500
2014,May,Tuesday,13,5,D52,Outside,UK,TO,BLK,3500
2014,May,Friday,9,6,D51,Other,KH,RC,LBL,1400
2014,May,Tuesday,13,8,D51,Outside,FUJI,MT,BLK,800
2014,May,Tuesday,13,5,D51,Commercial,OTHER,TO,BLKRED,1200
2014,May,Monday,12,18,D51,Other,EBIKE,EL,WHI,900
2014,May,Monday,12,23,D14,House,MONGOOSE,MT,BLU,80
2014,May,Saturday,10,14,D53,Outside,TREK,OT,GRY,600
2014,May,Thursday,8,22,D51,Other,RALEIGH,RG,BRN,500
2014,May,Tuesday,13,5,D51,Commercial,SPECIALIZED,RC,REDWHI,1200
2014,April,Monday,28,6,D14,House,TR,RG,BLU,1400
2014,May,Wednesday,14,7,D55,Other,OPUS,OT,BLK,675
2014,May,Wednesday,14,11,D52,Outside,FELT,OT,None,250
2014,May,Monday,12,8,D52,Outside,KO,RG,GRY,800
2014,May,Tuesday,13,15,D11,House,TREK,MT,BLUGRN,200
2014,May,Wednesday,7,13,D52,Apartment,UK,MT,YEL,400
2014,May,Sunday,11,18,D52,Other,TR,RC,BLK,1200
2014,May,Wednesday,14,7,D32,Outside,OT,RC,GRY,1000
2014,May,Monday,12,15,D42,House,NEXT,MT,RED,120
2014,May,Monday,12,23,D55,Other,OTHER,RG,BLU,450
2014,May,Tuesday,13,17,D52,Educational,CCM,OT,BLKBLU,305
2014,May,Thursday,15,14,D11,House,JAMIS,MT,GRY,1000
2014,May,Tuesday,13,7,D52,Outside,NO,MT,OTH,300
2014,May,Wednesday,14,16,D51,Outside,UK,MT,RED,400
2014,May,Thursday,15,7,D55,Other,TREK,OT,WHI,500
2014,May,Tuesday,13,9,D55,Transit,SC,MT,None,300
2014,May,Tuesday,13,16,D51,Outside,OT,MT,BLK,120
2014,May,Thursday,15,15,D52,Other,GI,RG,SIL,677
2014,May,Thursday,15,9,D52,Outside,UK,OT,BLK,1000
2014,May,Monday,5,23,D53,House,KO,RG,BLK,500
2014,May,Thursday,15,15,D55,Outside,SUPERCYCLE,MT,RED,200
2014,May,Monday,12,21,D14,Apartment,RM,MT,WHI,1200
2014,May,Thursday,15,14,D55,Outside,OTHER,BM,BLK,760
2014,May,Monday,12,23,D55,Other,SPECIALIZED,MT,BLK,1500
2014,May,Monday,12,23,D55,Other,OTHER,RG,GRY,1500
2014,May,Thursday,15,7,D55,Other,THIN BLUE LINE,MT,BRN,400
2014,May,Friday,16,11,D52,Other,OT,MT,BLK,1300
2014,May,Friday,16,16,D51,Outside,KO,RC,BLU,1300
2014,May,Thursday,15,10,D32,Transit,INFINITY,RG,BLK,330
2014,May,Friday,16,15,D52,Outside,CC,MT,WHI,600
2014,May,Wednesday,14,15,D55,Outside,FORTRESS,SC,DBL,700
2014,May,Saturday,10,20,D55,Other,GIANT,MT,PLEGRY,579.99
2014,May,Friday,16,21,D22,Outside,OTHER,MT,BLK,20
2014,May,Saturday,10,20,D55,Other,DEVINCI,MT,BLKGRY,859.98
2014,May,Friday,16,15,D22,House,GT,MT,GRY,1800
2014,May,Saturday,17,19,D31,Outside,OTHER,MT,GRY,189
2014,May,Monday,12,12,D53,Apartment,TREK,OT,BLKRED,700
2014,May,Friday,16,15,D22,House,JAMIS,MT,SIL,800
2014,May,Saturday,17,18,D55,Outside,OT,RG,BLK,560
2014,May,Thursday,15,7,D51,Outside,OT,RC,BLK,1000
2014,May,Thursday,15,8,D52,Outside,LI,EL,BLK,1600
2014,May,Sunday,18,3,D55,Commercial,OTHER,OT,BLU,700
2014,May,Friday,16,8,D51,Outside,TR,TO,BLK,500
2014,May,Sunday,18,11,D52,Outside,GIANT,OT,SIL,600
2014,May,Friday,16,13,D52,Outside,TR,RC,BLU,800
2014,April,Friday,18,17,D11,House,ELECTRA,TO,BLK,262.49
2014,May,Sunday,18,21,D51,Other,OPUS,RC,GRNBRN,675
2014,May,Tuesday,20,12,D51,Outside,OTHER,OT,BLK,650
2014,May,Tuesday,20,8,D32,Transit,MAXAM,MT,PNKPLE,1200
2014,May,Saturday,17,12,D11,Other,NORCO,RG,DGR,632
2014,May,Monday,19,21,D14,House,LINUS,OT,BLK,900
2014,May,Sunday,11,8,D52,Educational,RA,RG,WHI,350
2014,May,Monday,19,20,D22,House,DEVINCI,OT,WHI,3600
2014,May,Monday,19,9,D13,House,GIANT,MT,BLUWHI,2300
2014,May,Monday,19,22,D53,House,GI,RG,None,650
2014,May,Thursday,15,20,D14,Outside,OT,OT,BLK,500
2014,May,Monday,19,22,D22,House,OT,RC,CPRGLD,500
2014,May,Wednesday,14,8,D53,Educational,TREK,MT,GRNGRY,450
2014,May,Wednesday,21,18,D43,House,FORTRESS,SC,RED,3264
2014,May,Wednesday,21,10,D52,Outside,SPECIALIZED,OT,PLE,700
2014,May,Wednesday,21,21,D13,Outside,OT,MT,BLK,499.99
2014,May,Wednesday,21,9,D51,Outside,TREK,MT,BLU,200
2014,May,Wednesday,21,18,D51,House,OT,OT,ONG,400
2014,May,Thursday,22,14,D41,Other,SCOTT,RG,BLK,1600
2014,May,Thursday,22,14,D41,Other,SPECIALIZED,RG,PLE,200
2014,May,Wednesday,21,10,D52,Apartment,UK,MT,BLU,200
2014,May,Wednesday,21,17,D22,Outside,SPECIALIZED,RG,DBL,589
2014,May,Wednesday,21,8,D14,Commercial,KONA,OT,BRN,1000
2014,May,Wednesday,21,16,D51,Commercial,RA,MT,BGE,500
